2025-10-06 21:45:35,318 - MultiInterfaceGUI - INFO - setup_logging:574 - Multi-Interface Shark GUI logging initialized
2025-10-06 21:45:35,441 - MultiInterfaceGUI - INFO - setup_auto_save:581 - Auto-save enabled: saving session state every 30 seconds
2025-10-06 21:45:38,238 - MultiInterfaceGUI - INFO - log_message:867 - 🦈 Starting Multi-Interface Network Monitor...
2025-10-06 21:45:38,241 - MultiInterfaceGUI - INFO - log_message:867 - 📅 Monitoring duration set to: 6h 0m (21600s)
2025-10-06 21:45:38,241 - MultiInterfaceGUI - INFO - log_message:867 - ✅ Multi-interface monitoring started successfully!
2025-10-06 21:45:38,242 - MultiInterfaceGUI - INFO - log_message:867 - 🦈 Starting Multi-Interface Network Monitor...
2025-10-06 21:45:38,242 - persistent_wireshark_monitor - INFO - setup_logging:83 - Persistent Wireshark Monitor initialized
2025-10-06 21:45:38,243 - persistent_wireshark_monitor - WARNING - __init__:66 - Could not register signal handlers (not main thread): signal only works in main thread of the main interpreter
2025-10-06 21:45:38,250 - persistent_wireshark_monitor - ERROR - discover_interfaces:115 - Failed to discover interfaces: [Errno 2] No such file or directory: 'tshark'
2025-10-06 21:45:38,253 - persistent_wireshark_monitor - INFO - detect_interface_activity:151 - Activity detected on lo0: +221856 packets, +366080000 bytes
2025-10-06 21:48:41,071 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:43,076 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:45,083 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:47,090 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:49,101 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:51,107 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:53,113 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:55,124 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:57,130 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:48:59,137 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:01,148 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:03,154 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:05,159 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:05,730 - MultiInterfaceGUI - DEBUG - save_session_state:632 - Session state saved successfully
2025-10-06 21:49:07,167 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:09,178 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:11,183 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:13,194 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:15,199 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:17,210 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:19,216 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:21,223 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:23,233 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:25,239 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:27,245 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:29,252 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:31,263 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:33,269 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:35,275 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:35,731 - MultiInterfaceGUI - DEBUG - save_session_state:632 - Session state saved successfully
2025-10-06 21:49:37,281 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:39,295 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:41,301 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:43,311 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:45,317 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:47,323 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:49,334 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:51,344 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:53,350 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:55,357 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:57,366 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:49:59,373 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:01,384 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:03,390 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:05,396 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:05,732 - MultiInterfaceGUI - DEBUG - save_session_state:632 - Session state saved successfully
2025-10-06 21:50:07,403 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:09,414 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:11,425 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:13,435 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:15,442 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:17,453 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:19,464 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:21,475 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:23,486 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:25,497 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:27,504 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:29,510 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:31,516 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:33,528 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:35,539 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:35,731 - MultiInterfaceGUI - DEBUG - save_session_state:632 - Session state saved successfully
2025-10-06 21:50:37,546 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:39,557 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:41,568 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:43,573 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:45,580 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:47,591 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:49,597 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:51,607 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:53,619 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:55,626 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:57,636 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:50:59,642 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:51:01,648 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:51:03,659 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:51:05,665 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:51:05,731 - MultiInterfaceGUI - DEBUG - save_session_state:632 - Session state saved successfully
2025-10-06 21:51:07,671 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:51:09,681 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:51:11,688 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:51:13,694 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:51:15,700 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
2025-10-06 21:51:17,707 - MultiInterfaceGUI - INFO - log_message:867 - 📊 Stats: 19 interfaces, 16 up, 0 active
